1;2;3;7;8;9;10;11
Schluessel;Straftat;Anzahl erfasste Faelle;Tatortverteilung bis unter 20000 Einwohner - Anteil in %;Tatortverteilung 20000 bis unter 100000 Einwohner - Anteil in %;Tatortverteilung 100000 bis unter 500000 Einwohner - Anteil in %;Tatortverteilung 500000 und mehr Einwohner - Anteil in %;Tatortverteilung unbekannt - Anteil in %
;;Einwohner am 31.12.2019;;;;;
;;in %;;;;;
;;Einwohnerverteilung (01.01.2022 in %;40.6;27.5;15.1;16.9;x
------;Straftaten insgesamt;5,628,584;23.2;26.8;19.5;27.9;2.5
0;Straftaten gegen das Leben;3,077;28.8;31.7;18.4;20.6;0.5
10000;Mord § 211 StGB;662;31;24.2;18.4;25.1;1.4
10079;Sonstiger Mord;625;30.7;24.8;18.2;24.8;1.4
11000;Mord im Zusammenhang mit Raubdelikten;29;37.9;13.8;20.7;27.6;0
12000;Mord im Zusammenhang mit Sexualdelikten;8;25;12.5;25;37.5;0
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,574;27.9;32.9;17.5;21.6;0.1
20010;Totschlag § 212 StGB;1,549;27.8;32.9;17.5;21.7;0.1
20020;Minder schwerer Totschlag § 213 StGB;1;100;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;24;29.2;33.3;16.7;16.7;4.2
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;748;30.1;36.1;19.7;13.9;0.3
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;93;19.4;28;23.7;26.9;2.2
40010;Schwangerschaftsabbruch § 218 StGB;92;19.6;28.3;22.8;27.2;2.2
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;0;0;100;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;0;-;-;-;-;-
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;-;-;-;-;-
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;-;-;-;-;-
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;118,196;30.1;28.2;17.4;19.6;4.6
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;37,076;24.4;28.5;20.7;25.4;1.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;11,896;25.2;28;20.1;25.2;1.6
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;11,228;25.3;27.8;19.9;25.4;1.6
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);9,360;25.8;27.5;19.8;25.4;1.5
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;598;21.9;35.5;21.4;18.7;2.5
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1,270;23.2;26.6;20;28.4;1.7
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;667;23.5;30.6;23.4;20.5;1.9
