1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Anzahl vollendete Faelle;%-Anteil an allen Faellen;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,214,387;100;1,213,314;1,405,119;1,023,898;1,460,870;111,186;3,649;4,061;3,071,519;58.9;2,023,426;1,510,733;512,693;749,181;37
0;Straftaten gegen das Leben;1,307;0;391;420;238;250;8;0;53;1,082;82.8;1,371;1,013;358;324;23.6
10000;Mord § 211 StGB;211;0;66;43;39;59;4;0;29;200;94.8;256;215;41;94;36.7
10079;Sonstiger Mord;200;0;60;43;39;54;4;0;28;190;95;239;199;40;83;34.7
11000;Mord im Zusammenhang mit Raubdelikten;6;0;4;0;0;2;0;0;1;5;83.3;13;12;1;10;76.9
12000;Mord im Zusammenhang mit Sexualdelikten;5;0;2;0;0;3;0;0;0;5;100;5;5;0;1;20
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;302;0;91;90;41;79;1;0;23;293;97;328;261;67;96;29.3
20010;Totschlag § 212 StGB;282;0;85;83;39;75;0;0;19;273;96.8;312;248;64;95;30.4
20020;Minder schwerer Totschlag § 213 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;20;0;6;7;2;4;1;0;4;20;100;17;14;3;1;5.9
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;748;0;225;270;147;104;2;0;1;543;72.6;745;508;237;111;14.9
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;46;0;9;17;11;8;1;0;0;46;100;46;33;13;25;54.3
40010;Schwangerschaftsabbruch § 218 StGB;45;0;9;17;10;8;1;0;0;45;100;45;33;12;25;55.6
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;0;0;0;1;0;0;0;0;1;100;1;0;1;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;115,294;2.2;34,831;32,466;20,048;22,549;5,400;26;1;96,152;83.4;86,964;77,432;9,532;22,979;26.4
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;35,221;0.7;8,595;10,012;7,300;8,935;379;25;1;28,290;80.3;26,641;26,087;554;9,843;36.9
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;10,909;0.2;2,790;3,024;2,201;2,712;182;18;1;9,221;84.5;9,323;9,199;124;3,350;35.9
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;10,296;0.2;2,645;2,845;2,049;2,588;169;18;1;8,715;84.6;8,780;8,671;109;3,176;36.2
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);8,504;0.2;2,239;2,315;1,680;2,137;133;8;1;7,276;85.6;7,306;7,218;88;2,661;36.4
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;565;0;121;204;123;102;15;10;0;466;82.5;563;553;10;236;41.9
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1,227;0;285;326;246;349;21;0;0;973;79.3;974;962;12;299;30.7
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;612;0;145;179;152;123;13;0;0;505;82.5;572;556;16;180;31.5
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;148;0;42;39;28;36;3;0;0;120;81.1;139;135;4;41;29.5
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;342;0;82;99;94;58;9;0;0;291;85.1;323;317;6;109;33.7
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;122;0;21;41;30;29;1;0;0;94;77;112;106;6;31;27.7
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;1;0;0;0;0;1;0;0;0;1;100;1;1;0;0;0
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;6,139;0.1;1,579;1,668;1,095;1,696;101;5;0;5,058;82.4;5,065;4,940;125;1,679;33.1
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;3,089;0.1;778;774;479;1,017;41;3;0;2,559;82.8;2,544;2,497;47;880;34.6
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2,382;0;606;682;468;573;53;2;0;1,946;81.7;1,991;1,921;70;695;34.9
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;668;0;195;212;148;106;7;0;0;553;82.8;567;556;11;121;21.3
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;696;0;209;235;112;125;15;0;0;658;94.5;531;491;40;88;16.6
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;424;0;162;106;68;74;14;0;0;396;93.4;354;332;22;62;17.5
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;34;0;12;14;5;3;0;0;0;31;91.2;32;27;5;2;6.3
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;5;0;2;0;0;2;1;0;0;3;60;3;3;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;233;0;33;115;39;46;0;0;0;228;97.9;143;130;13;24;16.8
114000;Sexuelle Belästigung § 184i StGB;17,465;0.3;4,017;5,081;3,889;4,397;81;2;0;13,348;76.4;12,371;12,097;274;4,942;39.9
115000;Straftaten aus Gruppen § 184j StGB;12;0;0;4;3;5;0;0;0;5;41.7;18;18;0;11;61.1
130000;Sexueller Missbrauch §§ 176-176e, 182, 183, 183a StGB;24,198;0.5;7,023;6,671;4,432;5,266;806;1;0;18,467;76.3;15,844;15,053;791;3,636;22.9
131000;Sexueller Missbrauch von Kindern §§ 176-176e StGB;14,774;0.3;5,028;4,092;2,444;2,463;747;1;0;12,554;85;11,130;10,490;640;1,995;17.9
131010;Sexueller Missbrauch von Kindern - Anbieten von Kindern gemäß §§ 176 Abs. 1 Nr 3, 176a Abs.2, 176b Abs. 2 StGB;254;0;81;64;46;47;16;0;0;204;80.3;214;194;20;28;13.1
131011;Sexueller Missbrauch von Kindern - Kinder für sex. Handlungen anbietet, Nachweis verspricht § 176 Abs. 1 Nr. 3 StGB;123;0;35;30;26;27;5;0;0;98;79.7;109;97;12;13;11.9
131012;Sexueller Missbrauch von Kindern - Kinder für sex. Missbrauch ohne Körperkontakt anbietet, Nachweis verspricht, zur Tat verabredet § 176a Abs. 2 StGB;97;0;32;28;16;16;5;0;0;81;83.5;85;80;5;12;14.1
131013;Sexueller Missbrauch von Kindern - Kind zum vorbereitenden Einwirken anbietet, Nachweis verspricht, zur Tat verabredet § 176b Abs. 2 StGB;34;0;14;6;4;4;6;0;0;25;73.5;21;18;3;3;14.3
131100;Sexueller Missbrauch von Kindern - sexuelle Handlungen an Kind/durch Kind vornehmen lässt § 176 Abs 1 Nr. 1 und 2 StGB;5,892;0.1;2,121;1,696;944;990;141;1;0;5,305;90;4,986;4,765;221;981;19.7
