1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Anzahl Faelle insgesamt;Tatmonat in 2020-Januar;Tatmonat in 2020-Februar;Tatmonat in 2020-Maerz;Tatmonat in 2020-April;Tatmonat in 2020-Mai;Tatmonat in 2020-Juni;Tatmonat in 2020-Juli;Tatmonat in 2020-August;Tatmonat in 2020-September;Tatmonat in 2020-Oktober;Tatmonat in 2020-November;Tatmonat in 2020-Dezember;Tatzeit unbekannt;Schluessel gueltig von;Schluessel gueltig bis
------;Straftaten insgesamt;5,330,018;421,337;390,52;456,125;438,373;492,336;476,46;470,17;467,76;451,006;467,533;430,65;367,035;713;01.01.1971;31.12.9999
0;Straftaten gegen das Leben;2,462;239;168;230;234;224;235;232;209;194;205;143;149;0;01.01.1975;31.12.9999
10000;Mord § 211 StGB;545;63;32;53;55;41;56;54;40;43;34;36;38;0;01.01.2014;31.12.9999
10079;Sonstiger Mord;521;57;31;51;53;41;52;52;39;43;31;34;37;0;01.01.2008;31.12.9999
11000;Mord im Zusammenhang mit Raubdelikten;18;5;1;1;1;0;3;2;0;0;3;1;1;0;01.01.1999;31.12.9999
12000;Mord im Zusammenhang mit Sexualdelikten;6;1;0;1;1;0;1;0;1;0;0;1;0;0;01.01.1999;31.12.9999
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,377;109;98;121;131;133;118;129;126;111;132;78;91;0;01.01.1999;31.12.9999
20010;Totschlag § 212 StGB;1,352;104;97;116;131;129;113;129;125;110;130;77;91;0;01.01.2008;31.12.9999
20020;Minder schwerer Totschlag § 213 StGB;1;0;1;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
20030;Tötung auf Verlangen § 216 StGB;24;5;0;5;0;4;5;0;1;1;2;1;0;0;01.01.2008;31.12.9999
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;470;58;36;48;41;44;56;38;38;31;33;28;19;0;01.01.1993;31.12.9999
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;70;9;2;8;7;6;5;11;5;9;6;1;1;0;01.01.1999;31.12.2022
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219b StGB;70;9;2;8;7;6;5;11;5;9;6;1;1;0;01.01.2023;31.12.9999
40010;Schwangerschaftsabbruch § 218 StGB;68;9;2;8;7;6;5;10;5;9;5;1;1;0;01.01.2008;31.12.9999
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;2;0;0;0;0;0;0;1;0;0;1;0;0;0;01.01.2008;31.12.9999
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.2022
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;76,466;6,822;5,98;6,993;6,443;8,021;8,005;7,567;6,931;5,784;5,729;4,656;3,511;24;01.01.2018;31.12.9999
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;32,203;2,284;2,108;2,537;2,494;3,332;3,309;3,515;3,289;2,659;2,776;2,226;1,663;11;01.01.2017;31.12.9999
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9,274;770;679;804;721;944;937;939;916;728;756;593;483;4;01.01.2018;31.12.9999
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8,881;737;651;767;687;897;890;901;888;703;722;572;462;4;01.01.2018;31.12.9999
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);7,429;613;533;647;565;734;741;745;747;596;618;497;389;4;01.01.2018;31.12.9999
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;452;41;32;39;34;58;56;46;35;33;33;20;25;0;01.01.2018;31.12.9999
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1;83;86;81;88;105;93;110;106;74;71;55;48;0;01.01.2018;31.12.9999
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;392;32;28;37;34;47;47;38;28;25;34;21;21;0;01.01.2018;31.12.9999
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;127;8;5;10;14;14;19;10;11;10;11;6;9;0;01.01.2018;31.12.9999
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;184;18;15;16;14;25;19;18;13;12;15;11;8;0;01.01.2018;31.12.9999
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;81;6;8;11;6;8;9;10;4;3;8;4;4;0;01.01.2018;31.12.9999
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;1;1;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2018;31.12.9999
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;5,672;452;386;478;493;603;563;603;561;446;402;384;299;2;01.01.2018;31.12.9999
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2,786;221;206;226;234;281;270;287;299;220;208;193;139;2;01.01.2018;31.12.9999
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2,344;193;144;203;208;255;236;256;208;184;164;159;134;0;01.01.2018;31.12.9999
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;542;38;36;49;51;67;57;60;54;42;30;32;26;0;01.01.2018;31.12.9999
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;393;43;28;35;36;34;40;35;28;27;21;35;31;0;01.01.2014;31.12.9999
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;220;24;13;21;22;24;22;17;20;13;10;16;18;0;01.01.2019;31.12.9999
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;40;5;4;2;3;0;8;5;4;2;1;4;2;0;01.01.2008;31.12.9999
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;5;0;0;0;1;1;1;1;0;0;1;0;0;0;01.01.2008;31.12.9999
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;128;14;11;12;10;9;9;12;4;12;9;15;11;0;01.01.2008;31.12.9999
114000;Sexuelle Belästigung § 184i StGB;16,853;1,019;1,015;1,22;1,243;1,751;1,766;1,936;1,784;1,457;1,596;1,212;849;5;01.01.2019;31.12.9999
115000;Straftaten aus Gruppen § 184j StGB;11;0;0;0;1;0;3;2;0;1;1;2;1;0;01.01.2019;31.12.9999
130000;Sexueller Missbrauch §§ 176-176e, 182, 183, 183a StGB;18,576;1,413;1,205;1,475;1,361;1,987;2,106;2,011;1,924;1,583;1,522;1,16;822;7;01.01.2022;31.12.9999
131000;Sexueller Missbrauch von Kindern §§ 176-176e StGB;9,521;878;717;830;782;1,01;965;919;808;831;732;591;452;6;01.01.2022;31.12.9999
131010;Sexueller Missbrauch von Kindern - Anbieten von Kindern gemäß §§ 176 Abs. 1 Nr 3, 176a Abs.2, 176b Abs. 2 StGB;239;14;19;18;18;22;32;24;19;19;16;22;16;0;01.01.2022;31.12.9999
131011;Sexueller Missbrauch von Kindern - Kinder für sex. Handlungen anbietet, Nachweis verspricht § 176 Abs. 1 Nr. 3 StGB;94;5;9;9;7;10;13;6;5;11;4;7;8;0;01.01.2022;31.12.9999
131012;Sexueller Missbrauch von Kindern - Kinder für sex. Missbrauch ohne Körperkontakt anbietet, Nachweis verspricht, zur Tat verabredet § 176a Abs. 2 StGB;113;8;10;8;6;5;17;16;13;5;9;13;3;0;01.01.2022;31.12.9999
131013;Sexueller Missbrauch von Kindern - Kind zum vorbereitenden Einwirken anbietet, Nachweis verspricht, zur Tat verabredet § 176b Abs. 2 StGB;32;1;0;1;5;7;2;2;1;3;3;2;5;0;01.01.2022;31.12.9999
131100;Sexueller Missbrauch von Kindern - sexuelle Handlungen an Kind/durch Kind vornehmen lässt § 176 Abs 1 Nr. 1 und 2 StGB;3,868;341;279;333;292;414;423;423;324;306;279;258;192;4;01.01.2022;31.12.9999
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176a Abs. 1 Nr. 1 StGB;1,246;68;72;93;93;158;166;123;141;121;98;66;47;0;01.01.2022;31.12.9999
131300;Sexueller Missbrauch von Kindern - Täter bestimmt Kind, sexuelle Handlungen an sich selbst vorzunehmen § 176a Abs 1 Nr. 2 StGB;449;31;41;36;37;38;51;40;38;32;51;34;20;0;01.01.2022;31.12.9999
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";2,314;281;205;228;222;242;165;158;158;229;186;135;104;1;01.01.2022;31.12.9999
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;1,916;242;162;191;182;202;137;132;127;200;148;107;85;1;01.01.2022;31.12.9999
131411;Sexueller Missbrauch von Kindern - Einwirken auf Kind durch pornographischen Inhalt oder entsprechende Reden § 176a Abs. 1 Nr. 3 StGB;1,788;225;149;179;176;196;131;116;111;187;136;98;83;1;01.01.2022;31.12.9999
131412;Versuch des Sexuellen Missbrauchs von Kindern ohne Körperkontakt mit dem Kind (Scheinkindkonstellation) § 176a Abs. 1 nr. 3 i.V.m. Abs. 3 StGB;128;17;13;12;6;6;6;16;16;13;12;9;2;0;01.01.2022;31.12.9999
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;398;39;43;37;40;40;28;26;31;29;38;28;19;0;01.01.2022;31.12.9999
131421;Sexueller Missbrauch von Kindern - Einwirken auf Kind zur Vorbereitung sex. Missbrauchs § 176b Abs. 1 StGB;329;31;36;31;34;34;24;22;27;25;30;22;13;0;01.01.2022;31.12.9999
131422;Versuch der Vorbereitung des sexuellen Missbrauchs von Kindern (Scheinkindkonstellation) § 176b Abs. 1 i.V.m. Abs. 3 StGB;69;8;7;6;6;6;4;4;4;4;8;6;6;0;01.01.2022;31.12.9999
