1;2;3;4;5;6;7;8;9;10;11;12;13
Schluessel;Straftat;Anzahl aufgeklaerte Faelle insgesamt;Faelle begangen von alleinhandelnden Tatverdaechtigen - Anzahl;Faelle begangen von alleinhandelnden Tatverdaechtigen - Anteil in %;Faelle begangen von bereits als Tatverdaechtige in Erscheinung getretene Personen - Anzahl;Faelle begangen von bereits als Tatverdaechtige in Erscheinung getretene Personen - Anteil in %;Faelle begangen von Konsumenten harter Drogen - Anzahl;Faelle begangen von Konsumenten harter Drogen - Anteil in %;Faelle begangen von Tatverdaechtigen unter Alkoholeinfluss - Anzahl;Faelle begangen von Tatverdaechtigen unter Alkoholeinfluss - Anteil in %;Faelle begangen unter Mitfuehrung von Schusswaffen - Anzahl;Faelle begangen unter Mitfuehrung von Schusswaffen - Anteil in %
------;Straftaten insgesamt;3,226,935;2,848,215;88.3;1,887,649;58.5;252,627;7.8;295,767;9.2;16,245;0.5
0;Straftaten gegen das Leben;2,732;2,151;78.7;1,565;57.3;247;9;529;19.4;143;5.2
10000;Mord § 211 StGB;604;494;81.8;401;66.4;53;8.8;103;17.1;60;9.9
10079;Sonstiger Mord;570;472;82.8;373;65.4;48;8.4;94;16.5;57;10
11000;Mord im Zusammenhang mit Raubdelikten;26;15;57.7;24;92.3;5;19.2;8;30.8;3;11.5
12000;Mord im Zusammenhang mit Sexualdelikten;8;7;87.5;4;50;0;0;1;12.5;0;0
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,494;1,218;81.5;1,010;67.6;181;12.1;412;27.6;79;5.3
20010;Totschlag § 212 StGB;1,469;1,195;81.3;1,003;68.3;181;12.3;409;27.8;74;5
20020;Minder schwerer Totschlag § 213 StGB;1;0;0;1;100;0;0;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;24;23;95.8;6;25;0;0;3;12.5;5;20.8
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;543;352;64.8;97;17.9;5;0.9;7;1.3;3;0.6
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;91;87;95.6;57;62.6;8;8.8;7;7.7;1;1.1
40010;Schwangerschaftsabbruch § 218 StGB;90;86;95.6;56;62.2;7;7.8;7;7.8;1;1.1
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;1;100;1;100;1;100;0;0;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;0;0;0;0;0;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;98,376;92,992;94.5;42,390;43.1;2,304;2.3;7,616;7.7;186;0.2
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29,710;28,438;95.7;15,592;52.5;1,010;3.4;5,910;19.9;90;0.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9,960;9,403;94.4;5,567;55.9;468;4.7;1,911;19.2;50;0.5
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;9,408;8,905;94.7;5,254;55.8;442;4.7;1,823;19.4;44;0.5
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);7,911;7,567;95.7;4,375;55.3;348;4.4;1,476;18.7;30;0.4
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;488;413;84.6;293;60;34;7;77;15.8;12;2.5
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1,009;925;91.7;586;58.1;60;5.9;270;26.8;2;0.2
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;551;497;90.2;313;56.8;26;4.7;87;15.8;6;1.1
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;134;120;89.6;70;52.2;8;6;22;16.4;2;1.5
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;320;294;91.9;189;59.1;10;3.1;44;13.8;2;0.6
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;97;83;85.6;54;55.7;8;8.2;21;21.6;2;2.1
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;1;1;100;0;0;0;0;1;100;0;0
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;5,711;5,479;95.9;2,973;52.1;178;3.1;953;16.7;14;0.2
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2,828;2,741;96.9;1,453;51.4;77;2.7;488;17.3;7;0.2
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2,303;2,195;95.3;1,212;52.6;67;2.9;342;14.9;7;0.3
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;580;543;93.6;308;53.1;34;5.9;123;21.2;0;0
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;686;667;97.2;244;35.6;8;1.2;33;4.8;1;0.1
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;419;410;97.9;167;39.9;6;1.4;29;6.9;0;0
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;34;32;94.1;12;35.3;0;0;3;8.8;0;0
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;3;3;100;0;0;0;0;0;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;230;222;96.5;65;28.3;2;0.9;1;0.4;1;0.4
114000;Sexuelle Belästigung § 184i StGB;13,348;12,889;96.6;6,805;51;356;2.7;3,013;22.6;24;0.2
115000;Straftaten aus Gruppen § 184j StGB;5;0;0;3;60;0;0;0;0;1;20
130000;Sexueller Missbrauch §§ 176-176e, 182, 183, 183a StGB;19,173;18,300;95.4;10,434;54.4;631;3.3;1,505;7.8;26;0.1
131000;Sexueller Missbrauch von Kindern §§ 176-176e StGB;13,114;12,455;95;6,431;49;255;1.9;507;3.9;18;0.1
131010;Sexueller Missbrauch von Kindern - Anbieten von Kindern gemäß §§ 176 Abs. 1 Nr 3, 176a Abs.2, 176b Abs. 2 StGB;222;204;91.9;107;48.2;6;2.7;4;1.8;0;0
131011;Sexueller Missbrauch von Kindern - Kinder für sex. Handlungen anbietet, Nachweis verspricht § 176 Abs. 1 Nr. 3 StGB;116;108;93.1;57;49.1;5;4.3;4;3.4;0;0
131012;Sexueller Missbrauch von Kindern - Kinder für sex. Missbrauch ohne Körperkontakt anbietet, Nachweis verspricht, zur Tat verabredet § 176a Abs. 2 StGB;81;73;90.1;37;45.7;1;1.2;0;0;0;0
131013;Sexueller Missbrauch von Kindern - Kind zum vorbereitenden Einwirken anbietet, Nachweis verspricht, zur Tat verabredet § 176b Abs. 2 StGB;25;23;92;13;52;0;0;0;0;0;0
131100;Sexueller Missbrauch von Kindern - sexuelle Handlungen an Kind/durch Kind vornehmen lässt § 176 Abs 1 Nr. 1 und 2 StGB;5,568;5,384;96.7;2,527;45.4;91;1.6;227;4.1;6;0.1
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176a Abs. 1 Nr. 1 StGB;984;941;95.6;609;61.9;36;3.7;124;12.6;3;0.3
131300;Sexueller Missbrauch von Kindern - Täter bestimmt Kind, sexuelle Handlungen an sich selbst vorzunehmen § 176a Abs 1 Nr. 2 StGB;694;664;95.7;345;49.7;5;0.7;7;1;1;0.1
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";3,138;3,020;96.2;1,554;49.5;38;1.2;25;0.8;2;0.1
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;2,601;2,496;96;1,295;49.8;31;1.2;19;0.7;2;0.1
131411;Sexueller Missbrauch von Kindern - Einwirken auf Kind durch pornographischen Inhalt oder entsprechende Reden § 176a Abs. 1 Nr. 3 StGB;2,475;2,373;95.9;1,240;50.1;27;1.1;18;0.7;2;0.1
131412;Versuch des Sexuellen Missbrauchs von Kindern ohne Körperkontakt mit dem Kind (Scheinkindkonstellation) § 176a Abs. 1 nr. 3 i.V.m. Abs. 3 StGB;126;123;97.6;55;43.7;4;3.2;1;0.8;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;537;524;97.6;259;48.2;7;1.3;6;1.1;0;0
131421;Sexueller Missbrauch von Kindern - Einwirken auf Kind zur Vorbereitung sex. Missbrauchs § 176b Abs. 1 StGB;486;473;97.3;236;48.6;5;1;6;1.2;0;0
131422;Versuch der Vorbereitung des sexuellen Missbrauchs von Kindern (Scheinkindkonstellation) § 176b Abs. 1 i.V.m. Abs. 3 StGB;51;51;100;23;45.1;2;3.9;0;0;0;0
131500;Schwerer Sexueller Missbrauch von Kindern - Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176c Abs. 1 Nr. 2 StGB;1,224;1,174;95.9;647;52.9;37;3;87;7.1;5;0.4
131600;Schwerer sexueller Missbrauch von Kindern - Herstellung und Verbreitung pornographischer Inhalte § 176c Abs. 2 StGB;153;126;82.4;77;50.3;4;2.6;0;0;0;0
131700;Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen gem. § 176c StGB;1,122;933;83.2;561;50;38;3.4;33;2.9;1;0.1
131710;Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen § 176c Abs. 1 Nr. 1, 3, 4 StGB;1,115;926;83;559;50.1;38;3.4;32;2.9;1;0.1
131720;Schwerer sexueller Missbrauch von Kindern - mit schwerer körperlicher Misshandlung oder Gefahr des Todes § 176c Abs. 3 StGB;7;7;100;2;28.6;0;0;1;14.3;0;0
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176d StGB;0;0;0;0;0;0;0;0;0;0;0
131900;Verbreitung und Besitz von Anleitungen zu sexuellem Missbrauch von Kindern § 176e StGB;9;9;100;4;44.4;0;0;0;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;5,109;4,937;96.6;3,489;68.3;343;6.7;935;18.3;7;0.1
132010;Exhibitionistische Handlungen § 183 StGB;4,100;4,054;98.9;2,786;68;267;6.5;745;18.2;7;0.2
132020;Erregung öffentlichen Ärgernisses § 183a StGB;1,009;883;87.5;703;69.7;76;7.5;190;18.8;0;0
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;950;908;95.6;514;54.1;33;3.5;63;6.6;1;0.1
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;271;260;95.9;131;48.3;12;4.4;11;4.1;0;0
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;679;648;95.4;383;56.4;21;3.1;52;7.7;1;0.1
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;49,493;46,254;93.5;16,364;33.1;663;1.3;201;0.4;70;0.1
140010;Ausübung der verbotenen Prostitution § 184f StGB;579;546;94.3;470;81.2;35;6;2;0.3;0;0
140020;Jugendgefährdende Prostitution § 184g StGB;7;4;57.1;7;100;0;0;0;0;0;0
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;113;94;83.2;77;68.1;5;4.4;2;1.8;0;0
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;93;77;82.8;65;69.9;4;4.3;2;2.2;0;0
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;61;48;78.7;44;72.1;4;6.6;2;3.3;0;0
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;32;29;90.6;21;65.6;0;0;0;0;0;0
141200;Ausbeuten von Prostituierten § 180a StGB;20;17;85;12;60;1;5;0;0;0;0
142000;Zuhälterei § 181a StGB;128;111;86.7;102;79.7;9;7;2;1.6;1;0.8
143000;Verbreitung pornografischer Inhalte (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184e StGB;47,977;44,860;93.5;15,370;32;591;1.2;158;0.3;69;0.1
143010;Sonstige Verbreitung pornografischer Inhalte (Erzeugnisse) § 184 StGB;2,012;1,937;96.3;990;49.2;61;3;33;1.6;1;0
143020;Verbreitung gewalt- oder tierpornografischer Inhalte § 184a StGB;374;358;95.7;150;40.1;10;2.7;2;0.5;1;0.3
143040;Veranstaltung und Besuch kinder- und jugendpornografischer Darbietungen § 184e StGB;2;2;100;2;100;0;0;0;0;0;0
