1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Bundesland;Anzahl erfasste Faelle insgesamt;Anzahl Faelle vollendet;Anzahl Faelle versucht;Schadensklassen 1 bis unter 15 Euro;Schadensklassen 15 bis unter 50 Euro;Schadensklassen 50 bis unter 250 Euro;Schadensklassen 250 bis unter 500 Euro;Schadensklassen 500 bis unter 2500 Euro;Schadensklassen 2500 bis unter 5000 Euro;Schadensklassen 5000 bis unter 25000 Euro;Schadensklassen 25000 bis unter 50000 Euro;Schadensklassen 500000 Euro und mehr;Schadenssumme in Euro;Anzahl Faelle mit 1 Euro Schaden;Faelle mit 1 Euro Schaden Anteil in %
------;Straftaten insgesamt;Baden-Württemberg;2,852;2,805;47;680;17;46;64;302;208;761;182;545;219,308,314;678;99.7
------;Straftaten insgesamt;Bayern;4,661;4,058;603;1,005;178;461;269;561;281;707;215;381;154,917,269;941;93.6
------;Straftaten insgesamt;Berlin;6,141;5,165;976;801;27;229;119;499;423;2,104;265;698;334,171,247;790;98.6
------;Straftaten insgesamt;Brandenburg;1,076;1,059;17;130;11;40;53;231;150;303;48;93;36,650,273;126;96.9
------;Straftaten insgesamt;Bremen;775;523;252;101;16;73;56;95;26;91;18;47;16,228,196;93;92.1
------;Straftaten insgesamt;Hamburg;1,053;1,005;48;432;18;65;53;80;46;135;59;117;116,442,269;424;98.1
------;Straftaten insgesamt;Hessen;1,346;1,331;15;392;1;17;19;123;149;379;105;146;64,679,018;390;99.5
------;Straftaten insgesamt;Mecklenburg-Vorpommern;475;458;17;131;4;9;7;53;57;123;23;51;30,057,813;130;99.2
------;Straftaten insgesamt;Niedersachsen;2,818;2,543;275;754;90;243;146;385;173;457;108;187;297,336,925;725;96.2
------;Straftaten insgesamt;Nordrhein-Westfalen;5,685;5,471;214;1,126;50;285;257;541;319;1,765;357;771;361,820,875;1,109;98.5
------;Straftaten insgesamt;Rheinland-Pfalz;1,314;1,303;11;205;1;31;54;356;113;307;80;156;50,175,765;203;99
------;Straftaten insgesamt;Saarland;341;337;4;31;4;10;9;49;30;99;26;79;28,210,525;29;93.5
------;Straftaten insgesamt;Sachsen;1,847;1,803;44;427;7;56;97;292;249;404;105;166;105,673,035;426;99.8
------;Straftaten insgesamt;Sachsen-Anhalt;500;448;52;46;6;45;23;79;46;126;28;49;62,069,356;23;50
------;Straftaten insgesamt;Schleswig-Holstein;34,627;34,620;7;165;5;14;18;33,891;81;216;86;144;77,650,487;165;100
------;Straftaten insgesamt;Thüringen;503;453;50;123;6;24;28;71;29;92;29;51;128,072,577;120;97.6
------;Straftaten insgesamt;Bundesrepublik Deutschland;66,014;63,382;2,632;6,549;441;1,648;1,272;37,608;2,380;8,069;1,734;3,681;2,083,463,944;6,372;97.3
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Baden-Württemberg;1,294;1,248;46;115;15;31;32;88;88;504;95;280;93,652,194;113;98.3
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Bayern;3,162;2,561;601;281;168;423;238;384;176;509;136;246;90,412,440;229;81.5
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Berlin;4,989;4,015;974;445;20;207;100;410;377;1,939;145;372;115,799,609;435;97.8
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Brandenburg;415;398;17;37;6;14;20;50;39;180;26;26;8,296,499;34;91.9
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Bremen;626;376;250;42;16;69;52;82;19;67;10;19;6,006,596;35;83.3
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Hamburg;540;494;46;37;12;52;48;66;36;110;46;87;55,543,890;34;91.9
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Hessen;826;812;14;180;1;13;16;66;105;276;71;84;24,499,082;179;99.4
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Mecklenburg-Vorpommern;227;210;17;24;3;8;2;25;37;79;12;20;7,032,117;24;100
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Niedersachsen;1,814;1,548;266;290;78;207;121;252;106;312;75;107;212,794,619;267;92.1
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Nordrhein-Westfalen;3,376;3,168;208;466;40;228;214;288;154;1,283;193;302;135,091,969;453;97.2
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Rheinland-Pfalz;667;656;11;70;0;19;30;224;46;190;36;41;11,210,672;68;97.1
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Saarland;166;162;4;11;4;1;2;13;12;71;14;34;8,831,373;10;90.9
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Sachsen;814;775;39;121;2;32;62;127;105;198;62;66;29,288,045;120;99.2
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Sachsen-Anhalt;357;305;52;22;6;37;21;56;33;84;22;24;34,820,192;11;50
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Schleswig-Holstein;34,079;34,073;6;29;3;4;6;33,810;37;111;32;41;33,343,885;29;100
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Thüringen;341;291;50;62;5;21;26;41;14;62;21;39;20,497,690;60;96.8
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Bundesrepublik Deutschland;53,693;51,092;2,601;2,232;379;1,366;990;35,982;1,384;5,975;996;1,788;887,120,872;2,101;94.1
511000;Waren- und Warenkreditbetrug;Baden-Württemberg;73;73;0;1;0;3;2;5;2;55;3;2;1,363,727;1;100
511000;Waren- und Warenkreditbetrug;Bayern;486;446;40;19;18;117;111;116;23;28;5;9;1,529,602;14;73.7
511000;Waren- und Warenkreditbetrug;Berlin;92;82;10;3;2;23;22;15;2;7;3;5;539,601;3;100
511000;Waren- und Warenkreditbetrug;Brandenburg;7;6;1;0;0;2;1;0;2;1;0;0;11,509;0;0
511000;Waren- und Warenkreditbetrug;Bremen;93;76;17;5;6;22;18;17;2;3;0;3;1,110,438;3;60
511000;Waren- und Warenkreditbetrug;Hamburg;132;119;13;10;8;43;27;26;3;2;0;0;90,445;8;80
511000;Waren- und Warenkreditbetrug;Hessen;15;15;0;1;0;6;2;4;0;0;1;1;93,919;1;100
511000;Waren- und Warenkreditbetrug;Mecklenburg-Vorpommern;48;47;1;1;0;3;0;3;15;19;4;2;628,093;1;100
511000;Waren- und Warenkreditbetrug;Niedersachsen;329;322;7;24;47;127;44;43;8;10;7;12;27,612,989;20;83.3
511000;Waren- und Warenkreditbetrug;Nordrhein-Westfalen;312;299;13;19;18;119;62;48;3;12;3;15;3,317,089;18;94.7
511000;Waren- und Warenkreditbetrug;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
511000;Waren- und Warenkreditbetrug;Saarland;6;5;1;0;0;1;0;3;0;0;0;1;145,335;0;0
511000;Waren- und Warenkreditbetrug;Sachsen;56;54;2;1;1;13;8;22;3;2;2;2;302,690;1;100
511000;Waren- und Warenkreditbetrug;Sachsen-Anhalt;50;44;6;0;4;20;6;10;0;1;1;2;288,056;0;0
511000;Waren- und Warenkreditbetrug;Schleswig-Holstein;9;9;0;0;0;0;0;1;0;1;2;5;1,388,127;0;0
511000;Waren- und Warenkreditbetrug;Thüringen;44;42;2;10;2;11;7;6;0;5;1;0;116,893;9;90
