1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Schluessel;Straftat;Jahr;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Kinder bis unter 14 Jahre insgesamt - Anteil in %;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 12 und 13);Jugendliche 14 bis unter 18 Jahre insgesamt - Anteil in %;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre - Anteil in %;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 14 und 16);Tatverdaechtige insgesamt unter 21 Jahre Anteil in %;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 20 und 21);Erwachsene 21 bis unter 25 Jahre - Anteil in %;Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - Anteil in $;Erwachsene ab 21 Jahre (Anzahl Spalten 22, 24 bis 27);Erwachsene ab 21 Jahre Anteil in %
------;Straftaten insgesamt;1987;258,326;240;859;2,298;4,397;7,650;15,444;6;12,484;15,725;28,209;10.9;27,385;10.6;71,038;27.5;21,217;20,832;42,049;16.3;44,994;56,532;28,135;11,193;4,385;1.7;187,288;72.5
------;Straftaten insgesamt;1988;286,744;308;877;2,278;4,402;7,894;15,759;5.5;13,124;17,113;30,237;10.5;29,735;10.4;75,731;26.4;22,216;23,484;45,700;15.9;50,801;64,735;31,838;12,935;5,004;1.7;211,013;73.6
------;Straftaten insgesamt;1989;336,011;350;1,093;2,771;4,802;8,311;17,327;5.2;14,295;20,422;34,717;10.3;37,426;11.1;89,470;26.6;25,619;27,930;53,549;15.9;61,188;75,634;35,852;14,555;5,763;1.7;246,541;73.4
------;Straftaten insgesamt;1990;383,583;371;1,083;2,810;5,385;9,936;19,585;5.1;17,425;26,300;43,725;11.4;47,306;12.3;110,616;28.8;31,746;30,862;62,608;16.3;68,259;82,656;38,537;15,509;5,398;1.4;272,967;71.2
------;Straftaten insgesamt;1991;405,545;383;1,036;2,641;5,380;9,893;19,333;4.8;18,105;25,974;44,079;10.9;51,634;12.7;115,046;28.4;36,452;34,718;71,170;17.5;75,029;85,878;38,261;15,205;4,956;1.2;290,499;71.6
------;Straftaten insgesamt;1992;509,305;471;1,057;2,808;5,898;11,057;21,291;4.2;19,252;30,435;49,687;9.8;67,098;13.2;138,076;27.1;50,815;49,188;100,003;19.6;95,803;106,832;45,486;17,626;5,479;1.1;371,229;72.9
------;Straftaten insgesamt;1993;689,920;698;1,133;2,858;5,646;11,462;21,797;3.2;21,597;35,696;57,293;8.3;87,513;12.7;166,603;24.1;69,703;72,784;142,487;20.7;140,102;152,259;59,698;21,359;7,412;1.1;523,317;75.9
------;Straftaten insgesamt;1994;612,988;506;972;2,744;5,254;11,208;20,684;3.4;21,178;32,156;53,334;8.7;72,013;11.7;146,031;23.8;56,681;59,333;116,014;18.9;122,585;141,982;58,163;20,971;7,242;1.2;466,957;76.2
------;Straftaten insgesamt;1995;603,496;482;1,132;2,981;5,706;12,144;22,445;3.7;23,234;32,068;55,302;9.2;69,379;11.5;147,126;24.4;52,637;53,923;106,560;17.7;117,607;142,076;60,364;21,940;7,823;1.3;456,370;75.6
------;Straftaten insgesamt;1996;625,585;459;1,196;3,180;6,114;12,976;23,925;3.8;25,018;34,111;59,129;9.5;69,298;11.1;152,352;24.4;53,352;54,423;107,775;17.2;121,591;148,106;64,089;23,338;8,334;1.3;473,233;75.6
------;Straftaten insgesamt;1997;633,480;500;1,318;3,690;7,091;14,418;27,017;4.3;26,322;35,727;62,049;9.8;67,308;10.6;156,374;24.7;52,785;53,384;106,169;16.8;122,947;150,029;64,782;24,156;9,023;1.4;477,106;75.3
------;Straftaten insgesamt;1998;628,477;556;1,423;3,744;7,293;14,045;27,061;4.3;25,632;36,381;62,013;9.9;68,220;10.9;157,294;25;51,331;52,248;103,579;16.5;119,586;149,597;64,227;24,968;9,226;1.5;471,183;75
------;Straftaten insgesamt;1999;601,221;678;1,425;3,846;7,577;13,749;27,275;4.5;24,036;34,836;58,872;9.8;66,296;11;152,443;25.4;47,706;49,130;96,836;16.1;111,904;142,922;62,166;25,134;9,816;1.6;448,778;74.6
------;Straftaten insgesamt;2000;589,109;605;1,373;3,659;7,054;13,795;26,486;4.5;22,962;32,515;55,477;9.4;63,119;10.7;145,082;24.6;45,181;46,975;92,156;15.6;107,950;143,046;63,724;25,789;11,362;1.9;444,027;75.4
------;Straftaten insgesamt;2001;568,384;559;1,190;3,238;6,616;13,166;24,769;4.4;22,216;31,021;53,237;9.4;58,486;10.3;136,492;24;43,182;43,087;86,269;15.2;102,449;140,240;64,445;26,504;11,985;2.1;431,892;76
