1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Schluessel;Straftat - insgesamt;Jahr;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich;
------;Straftaten insgesamt (Opferdelikte);2009;941,265;558,586;382,679;73,729;41,801;31,928;104,984;64,172;40,812;114,981;74,829;40,152;596,057;348,746;247,311;51,514;29,038;22,476;647,571;377,784;269,787;
------;Straftaten insgesamt (Opferdelikte);2010;932,126;549,863;382,263;72,232;40,821;31,411;99,135;59,339;39,796;109,139;69,550;39,589;600,019;351,135;248,884;51,601;29,018;22,583;651,620;380,153;271,467;
------;Straftaten insgesamt (Opferdelikte);2011;964,945;580,284;384,661;70,429;39,692;30,737;92,128;54,586;37,542;104,427;66,546;37,881;644,770;389,267;255,503;53,191;30,193;22,998;697,961;419,460;278,501;
------;Straftaten insgesamt (Opferdelikte);2012;976,090;584,524;391,566;67,579;37,517;30,062;88,020;51,468;36,552;99,541;62,185;37,356;666,152;402,223;263,929;54,798;31,131;23,667;720,950;433,354;287,596;
------;Straftaten insgesamt (Opferdelikte);2013;955,737;567,479;388,258;65,334;35,345;29,989;81,633;46,690;34,943;89,880;55,712;34,168;662,202;397,626;264,576;56,688;32,106;24,582;718,890;429,732;289,158;
------;Straftaten insgesamt (Opferdelikte);2014;947,568;562,782;384,786;64,584;35,304;29,280;77,948;44,018;33,930;83,802;51,842;31,960;663,253;398,461;264,792;57,981;33,157;24,824;721,234;431,618;289,616;
------;Straftaten insgesamt (Opferdelikte);2015;946,133;564,241;381,892;62,342;33,881;28,461;74,650;42,157;32,493;80,941;49,939;31,002;668,823;404,242;264,581;59,377;34,022;25,355;728,200;438,264;289,936;
------;Straftaten insgesamt (Opferdelikte);2016;1,017,602;614,102;403,500;67,519;37,288;30,231;82,930;48,488;34,442;88,459;55,518;32,941;716,502;437,162;279,340;62,192;35,646;26,546;778,694;472,808;305,886;
------;Straftaten insgesamt (Opferdelikte);2017;1,008,510;604,475;404,035;68,820;38,426;30,394;84,071;48,852;35,219;88,834;55,189;33,645;704,139;426,243;277,896;62,646;35,765;26,881;766,785;462,008;304,777;
------;Straftaten insgesamt (Opferdelikte);2018;1,025,241;611,094;414,147;70,590;38,214;32,376;84,175;47,645;36,530;89,688;55,664;34,024;715,629;431,965;283,664;65,159;37,606;27,553;780,788;469,571;311,217;
------;Straftaten insgesamt (Opferdelikte);2019;1,013,048;603,080;409,968;72,772;39,214;33,558;83,713;48,292;35,421;85,885;53,204;32,681;704,911;424,405;280,506;65,767;37,965;27,802;770,678;462,370;308,308;
------;Straftaten insgesamt (Opferdelikte);2020;1,011,462;594,531;416,931;70,106;37,116;32,990;76,630;43,091;33,539;78,631;46,738;31,893;713,436;425,589;287,847;72,659;41,997;30,662;786,095;467,586;318,509;
------;Straftaten insgesamt (Opferdelikte);2021;985,790;573,287;412,503;71,931;37,688;34,243;73,160;39,698;33,462;71,267;40,462;30,805;694,085;411,770;282,315;75,347;43,669;31,678;769,432;455,439;313,993;0
------;Straftaten insgesamt (Opferdelikte);2022;1,151,908;679,717;472,191;88,101;48,142;39,959;94,157;53,443;40,714;83,451;48,491;34,960;802,068;480,532;321,536;84,131;49,109;35,022;886,199;529,641;356,558;0
10000;Mord § 211 StGB ;2000;1,108;649;459;79;38;41;30;14;16;68;40;28;816;508;308;115;49;66;931;557;374;
10000;Mord § 211 StGB ;2001;996;594;402;80;42;38;25;18;7;50;25;25;725;457;268;116;52;64;841;509;332;
10000;Mord § 211 StGB ;2002;989;580;409;77;40;37;36;12;24;49;26;23;693;434;259;134;68;66;827;502;325;
10000;Mord § 211 StGB ;2003;921;480;441;63;29;34;38;10;28;36;16;20;664;376;288;120;49;71;784;425;359;
10000;Mord § 211 StGB ;2004;907;515;392;71;32;39;32;21;11;23;12;11;645;383;262;136;67;69;781;450;331;
10000;Mord § 211 StGB ;2005;891;513;378;59;30;29;38;20;18;35;16;19;616;379;237;143;68;75;759;447;312;
10000;Mord § 211 StGB ;2006;983;540;443;58;26;32;34;18;16;52;26;26;684;395;289;155;75;80;839;470;369;
10000;Mord § 211 StGB ;2007;884;523;361;47;29;18;25;16;9;50;24;26;641;386;255;121;68;53;762;454;308;
10000;Mord § 211 StGB ;2008;926;543;383;67;39;28;32;18;14;62;37;25;601;365;236;164;84;80;765;449;316;
10000;Mord § 211 StGB ;2009;914;491;423;46;18;28;87;27;60;47;28;19;571;340;231;163;78;85;734;418;316;
10000;Mord § 211 StGB ;2010;814;425;389;45;24;21;16;5;11;43;21;22;576;319;257;134;56;78;710;375;335;
10000;Mord § 211 StGB ;2011;889;510;379;45;23;22;37;21;16;40;27;13;603;361;242;164;78;86;767;439;328;
10000;Mord § 211 StGB ;2012;801;453;348;72;40;32;27;10;17;29;15;14;526;317;209;147;71;76;673;388;285;
10000;Mord § 211 StGB ;2013;814;481;333;49;27;22;15;7;8;32;20;12;578;363;215;140;64;76;718;427;291;
10000;Mord § 211 StGB ;2014;859;512;347;51;23;28;21;10;11;29;16;13;603;382;221;155;81;74;758;463;295;
10000;Mord § 211 StGB;2015;777;449;328;32;16;16;27;10;17;29;15;14;514;332;182;175;76;99;689;408;281;
10000;Mord § 211 StGB;2016;993;575;418;45;27;18;36;21;15;58;35;23;635;383;252;219;109;110;854;492;362;
10000;Mord § 211 StGB;2017;1,030;600;430;64;31;33;15;8;7;43;26;17;681;416;265;227;119;108;908;535;373;
10000;Mord § 211 StGB;2018;1,267;672;595;82;43;39;68;13;55;94;30;64;836;494;342;187;92;95;1,023;586;437;
10000;Mord § 211 StGB;2019;962;616;346;59;36;23;31;17;14;48;27;21;677;467;210;147;69;78;824;536;288;
10000;Mord § 211 StGB;2020;1,117;651;466;101;42;59;35;18;17;65;38;27;739;462;277;177;91;86;916;553;363;
10000;Mord § 211 StGB;2021;925;558;367;61;32;29;32;20;12;36;23;13;622;392;230;174;91;83;796;483;313;314810
10000;Mord § 211 StGB;2022;967;541;426;73;35;38;40;20;20;39;23;16;619;367;252;196;96;100;815;463;352;314810
11000;Mord im Zusammenhang mit Raubdelikten;2000;64;46;18;0;0;0;0;0;0;2;1;1;41;36;5;21;9;12;62;45;17;
11000;Mord im Zusammenhang mit Raubdelikten;2001;105;74;31;0;0;0;0;0;0;2;1;1;65;55;10;38;18;20;103;73;30;
11000;Mord im Zusammenhang mit Raubdelikten;2002;66;49;17;0;0;0;2;2;0;5;3;2;40;31;9;19;13;6;59;44;15;
11000;Mord im Zusammenhang mit Raubdelikten;2003;84;55;29;0;0;0;6;2;4;4;3;1;53;42;11;21;8;13;74;50;24;
11000;Mord im Zusammenhang mit Raubdelikten;2004;64;46;18;1;1;0;2;2;0;4;3;1;37;27;10;20;13;7;57;40;17;
11000;Mord im Zusammenhang mit Raubdelikten;2005;54;35;19;0;0;0;1;1;0;4;2;2;31;25;6;18;7;11;49;32;17;
11000;Mord im Zusammenhang mit Raubdelikten;2006;63;46;17;0;0;0;0;0;0;3;3;0;43;34;9;17;9;8;60;43;17;
11000;Mord im Zusammenhang mit Raubdelikten;2007;71;55;16;0;0;0;0;0;0;3;2;1;48;40;8;20;13;7;68;53;15;
11000;Mord im Zusammenhang mit Raubdelikten;2008;72;58;14;0;0;0;0;0;0;2;2;0;51;44;7;19;12;7;70;56;14;
11000;Mord im Zusammenhang mit Raubdelikten;2009;55;35;20;0;0;0;1;1;0;4;3;1;25;20;5;25;11;14;50;31;19;
11000;Mord im Zusammenhang mit Raubdelikten;2010;61;29;32;0;0;0;1;0;1;3;2;1;39;24;15;18;3;15;57;27;30;
11000;Mord im Zusammenhang mit Raubdelikten;2011;62;46;16;0;0;0;3;3;0;1;1;0;35;30;5;23;12;11;58;42;16;
11000;Mord im Zusammenhang mit Raubdelikten;2012;59;44;15;0;0;0;2;1;1;0;0;0;41;34;7;16;9;7;57;43;14;
11000;Mord im Zusammenhang mit Raubdelikten;2013;47;29;18;0;0;0;1;1;0;2;2;0;30;21;9;14;5;9;44;26;18;
11000;Mord im Zusammenhang mit Raubdelikten;2014;49;32;17;0;0;0;0;0;0;1;0;1;29;22;7;19;10;9;48;32;16;
11000;Mord im Zusammenhang mit Raubdelikten;2015;43;27;16;0;0;0;0;0;0;1;1;0;24;17;7;18;9;9;42;26;16;
11000;Mord im Zusammenhang mit Raubdelikten;2016;51;31;20;1;0;1;0;0;0;2;2;0;30;20;10;18;9;9;48;29;19;
11000;Mord im Zusammenhang mit Raubdelikten;2017;46;26;20;0;0;0;3;2;1;1;1;0;23;14;9;19;9;10;42;23;19;
11000;Mord im Zusammenhang mit Raubdelikten;2018;47;33;14;0;0;0;0;0;0;2;2;0;26;20;6;19;11;8;45;31;14;
11000;Mord im Zusammenhang mit Raubdelikten;2019;41;31;10;0;0;0;2;2;0;0;0;0;27;21;6;12;8;4;39;29;10;
11000;Mord im Zusammenhang mit Raubdelikten;2020;34;23;11;0;0;0;0;0;0;3;3;0;18;14;4;13;6;7;31;20;11;
11000;Mord im Zusammenhang mit Raubdelikten;2021;36;21;15;0;0;0;1;1;0;0;0;0;20;14;6;15;6;9;35;20;15;316538
11000;Mord im Zusammenhang mit Raubdelikten;2022;35;30;5;0;0;0;1;1;0;3;3;0;19;18;1;12;8;4;31;26;5;316538
12000;Mord im Zusammenhang mit Sexualdelikten;2000;27;2;25;4;1;3;1;0;1;4;0;4;16;1;15;2;0;2;18;1;17;
12000;Mord im Zusammenhang mit Sexualdelikten;2001;25;4;21;6;3;3;2;0;2;3;1;2;13;0;13;1;0;1;14;0;14;
12000;Mord im Zusammenhang mit Sexualdelikten;2002;31;2;29;3;0;3;7;0;7;4;0;4;15;1;14;2;1;1;17;2;15;
12000;Mord im Zusammenhang mit Sexualdelikten;2003;29;5;24;5;1;4;5;0;5;2;0;2;14;3;11;3;1;2;17;4;13;
12000;Mord im Zusammenhang mit Sexualdelikten;2004;26;2;24;6;1;5;3;1;2;1;0;1;15;0;15;1;0;1;16;0;16;
12000;Mord im Zusammenhang mit Sexualdelikten;2005;23;4;19;4;1;3;5;0;5;0;0;0;11;3;8;3;0;3;14;3;11;
12000;Mord im Zusammenhang mit Sexualdelikten;2006;23;3;20;4;3;1;1;0;1;3;0;3;14;0;14;1;0;1;15;0;15;
12000;Mord im Zusammenhang mit Sexualdelikten;2007;18;2;16;4;1;3;4;0;4;1;1;0;8;0;8;1;0;1;9;0;9;
12000;Mord im Zusammenhang mit Sexualdelikten;2008;19;3;16;2;1;1;0;0;0;3;0;3;11;1;10;3;1;2;14;2;12;
12000;Mord im Zusammenhang mit Sexualdelikten;2009;14;0;14;2;0;2;1;0;1;2;0;2;6;0;6;3;0;3;9;0;9;
