1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Faelle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;396,184;100;46,369;11.7;92,175;88,283;56,324;79,861;79,541;63;9;224,709;56.7;169,458;122,073;47,385;37,422;22.1
0;Straftaten gegen das Leben;8;0;7;87.5;0;1;0;4;3;0;0;5;62.5;5;5;0;1;20
10000;Mord § 211 StGB;6;0;6;100;0;0;0;3;3;0;0;3;50;3;3;0;1;33.3
10079;Sonstiger Mord;6;0;6;100;0;0;0;3;3;0;0;3;50;3;3;0;1;33.3
11000;Mord im Zusammenhang mit Raubdelikten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2;0;1;50;0;1;0;1;0;0;0;2;100;2;2;0;0;0
20010;Totschlag § 212 StGB;2;0;1;50;0;1;0;1;0;0;0;2;100;2;2;0;0;0
20020;Minder schwerer Totschlag § 213 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
