1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
Schluessel;Straftat;Bundesland;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Fälle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;Baden-Württemberg;3,545;4.8;57;1.6;1,373;1,195;681;279;17;0;0;3,283;92.6;2,502;1,869;633;826;33
------;Straftaten insgesamt;Bayern;5,740;7.9;647;11.3;2,446;947;363;738;1,246;0;0;4,441;77.4;3,662;2,616;1,046;1,140;31.1
------;Straftaten insgesamt;Berlin;6,517;8.9;982;15.1;0;0;0;6,517;0;0;0;5,573;85.5;3,878;2,952;926;1,615;41.6
------;Straftaten insgesamt;Brandenburg;1,180;1.6;19;1.6;615;412;145;0;8;0;0;1,039;88.1;740;547;193;134;18.1
------;Straftaten insgesamt;Bremen;1,016;1.4;259;25.5;0;0;114;900;2;0;0;492;48.4;472;350;122;159;33.7
------;Straftaten insgesamt;Hamburg;1,114;1.5;50;4.5;0;0;0;967;147;0;0;814;73.1;809;604;205;120;14.8
------;Straftaten insgesamt;Hessen;1,819;2.5;24;1.3;819;438;211;316;35;0;0;1,753;96.4;1,429;1,043;386;458;32.1
------;Straftaten insgesamt;Mecklenburg-Vorpommern;538;0.7;18;3.3;290;153;94;0;1;0;0;500;92.9;331;227;104;44;13.3
------;Straftaten insgesamt;Niedersachsen;3,333;4.6;289;8.7;1,070;1,142;528;380;213;0;0;2,817;84.5;2,604;1,931;673;616;23.7
------;Straftaten insgesamt;Nordrhein-Westfalen;8,245;11.3;224;2.7;967;1,864;3,699;1,340;375;0;0;6,896;83.6;6,638;4,545;2,093;1,826;27.5
------;Straftaten insgesamt;Rheinland-Pfalz;1,573;2.2;14;0.9;792;220;558;0;3;0;0;1,526;97;855;578;277;226;26.4
------;Straftaten insgesamt;Saarland;409;0.6;5;1.2;179;127;92;0;11;0;0;365;89.2;218;161;57;55;25.2
------;Straftaten insgesamt;Sachsen;2,054;2.8;45;2.2;554;419;191;890;0;0;0;1,938;94.4;1,315;987;328;268;20.4
------;Straftaten insgesamt;Sachsen-Anhalt;620;0.8;52;8.4;168;150;138;0;164;0;0;444;71.6;496;327;169;95;19.2
------;Straftaten insgesamt;Schleswig-Holstein;34,800;47.6;9;0;34,357;239;181;0;23;0;0;34,764;99.9;721;601;120;131;18.2
------;Straftaten insgesamt;Thüringen;611;0.8;52;8.5;248;231;117;0;15;0;0;484;79.2;438;328;110;73;16.7
------;Straftaten insgesamt;Bundesrepublik Deutschland;73,114;100;2,746;3.8;43,878;7,537;7,112;12,327;2,260;0;0;67,129;91.8;26,770;19,367;7,403;7,687;28.7
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Baden-Württemberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Bayern;27;0;0;0;16;6;0;2;3;0;0;21;77.8;22;19;3;6;27.3
