1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;
Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
------;Straftaten insgesamt;5334002;Aachen;28,525;11,452.60;2,122;7.4;31;14;15,872;55.6;11,772;9,248;2,524;6,558;55.7;0
------;Straftaten insgesamt;9761000;Augsburg;20,987;7,078.80;1,242;5.9;10;11;15,103;72;10,677;8,130;2,547;5,095;47.7;0
------;Straftaten insgesamt;5378004;Bergisch Gladbach;6,360;5,696.60;559;8.8;7;4;3,317;52.2;2,463;1,850;613;774;31.4;0
------;Straftaten insgesamt;11000000;Berlin;519,822;14,135.30;36,371;7;370;290;233,454;44.9;136,570;100,916;35,654;64,678;47.4;0
------;Straftaten insgesamt;5711000;Bielefeld;24,259;7,263.10;1,752;7.2;28;17;13,801;56.9;10,040;7,418;2,622;4,010;39.9;0
------;Straftaten insgesamt;5911000;Bochum;30,567;8,410.40;2,619;8.6;29;21;15,977;52.3;11,127;8,407;2,720;3,636;32.7;0
------;Straftaten insgesamt;5314000;Bonn;33,773;10,176.10;2,640;7.8;22;10;17,299;51.2;11,952;8,875;3,077;4,504;37.7;0
------;Straftaten insgesamt;5512000;Bottrop;8,658;7,380.40;740;8.5;13;8;4,141;47.8;3,172;2,353;819;853;26.9;0
------;Straftaten insgesamt;3101000;Braunschweig;20,027;8,048.70;1,168;5.8;20;18;12,633;63.1;8,653;6,386;2,267;2,628;30.4;0
------;Straftaten insgesamt;4011000;Bremen;66,206;11,753.40;6,536;9.9;53;43;29,070;43.9;18,420;14,400;4,020;8,490;46.1;0
------;Straftaten insgesamt;4012000;Bremerhaven;13,100;11,575.20;1,309;10;16;19;6,913;52.8;4,307;3,219;1,088;1,373;31.9;0
------;Straftaten insgesamt;14511000;Chemnitz;20,084;8,261.50;1,172;5.8;10;14;13,185;65.6;8,981;6,698;2,283;4,012;44.7;0
------;Straftaten insgesamt;12052000;Cottbus;8,656;8,800.40;550;6.4;2;5;4,865;56.2;3,335;2,525;810;839;25.2;0
------;Straftaten insgesamt;6411000;Darmstadt;10,949;6,858.90;662;6;0;4;6,654;60.8;4,862;3,626;1,236;2,022;41.6;0
------;Straftaten insgesamt;5913000;Dortmund;62,755;10,693.50;5,029;8;47;50;34,512;55;23,651;17,901;5,750;10,813;45.7;0
------;Straftaten insgesamt;14612000;Dresden;47,123;8,485.30;3,438;7.3;22;35;26,330;55.9;16,675;12,495;4,180;6,125;36.7;0
------;Straftaten insgesamt;5112000;Duisburg;46,363;9,363.40;3,527;7.6;55;33;24,762;53.4;18,733;13,837;4,896;7,855;41.9;0
------;Straftaten insgesamt;5111000;Düsseldorf;71,168;11,488.40;5,372;7.5;59;27;34,274;48.2;26,702;19,966;6,736;13,053;48.9;0
------;Straftaten insgesamt;16051000;Erfurt;19,640;9,210.80;1,710;8.7;3;5;12,419;63.2;7,828;5,859;1,969;2,612;33.4;0
------;Straftaten insgesamt;9562000;Erlangen;6,098;5,382.60;341;5.6;2;0;3,998;65.6;3,027;2,345;682;1,382;45.7;0
------;Straftaten insgesamt;5113000;Essen;49,272;8,503.50;4,484;9.1;47;35;24,215;49.1;18,405;13,818;4,587;7,228;39.3;0
------;Straftaten insgesamt;6412000;Frankfurt am Main;109,047;14,363.00;6,655;6.1;42;43;69,674;63.9;47,897;34,042;13,855;32,949;68.8;0
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;23,179;9,997.50;1,327;5.7;7;6;13,142;56.7;9,408;7,191;2,217;4,364;46.4;0
------;Straftaten insgesamt;9563000;Fürth;5,183;4,014.00;309;6;1;6;3,464;66.8;2,886;2,142;744;1,246;43.2;0
------;Straftaten insgesamt;5513000;Gelsenkirchen;22,852;8,785.00;1,924;8.4;31;10;12,303;53.8;9,887;7,369;2,518;3,888;39.3;0
------;Straftaten insgesamt;3159016;Göttingen;12,063;10,349.40;686;5.7;6;6;6,930;57.4;4,840;3,618;1,222;1,799;37.2;0
------;Straftaten insgesamt;5754008;Gütersloh;6,459;6,385.10;421;6.5;10;13;3,617;56;2,945;2,256;689;1,168;39.7;0
------;Straftaten insgesamt;5914000;Hagen;18,220;9,654.90;1,437;7.9;26;13;10,403;57.1;7,580;5,643;1,937;3,188;42.1;0
------;Straftaten insgesamt;15002000;Halle (Saale);26,818;11,265.20;2,559;9.5;29;9;14,430;53.8;8,797;6,708;2,089;2,657;30.2;0
------;Straftaten insgesamt;2000000;Hamburg;206,106;11,117.20;14,652;7.1;118;84;97,154;47.1;64,953;49,703;15,250;30,796;47.4;0
------;Straftaten insgesamt;5915000;Hamm;16,549;9,233.00;1,225;7.4;23;13;9,205;55.6;6,305;4,837;1,468;2,616;41.5;0
------;Straftaten insgesamt;6435014;Hanau;6,888;6,992.80;259;3.8;3;8;4,816;69.9;3,948;2,914;1,034;1,831;46.4;0
------;Straftaten insgesamt;3241001;Hannover;70,068;13,074.00;4,584;6.5;63;54;42,022;60;26,811;20,620;6,191;12,010;44.8;0
------;Straftaten insgesamt;8221000;Heidelberg;12,750;8,006.50;975;7.6;4;6;7,471;58.6;5,711;4,442;1,269;2,917;51.1;0
------;Straftaten insgesamt;8121000;Heilbronn;8,239;6,559.00;458;5.6;9;10;5,276;64;4,229;3,096;1,133;1,914;45.3;0
------;Straftaten insgesamt;5916000;Herne;14,251;9,099.00;1,085;7.6;16;13;7,879;55.3;5,140;3,911;1,229;1,795;34.9;0
------;Straftaten insgesamt;3254021;Hildesheim;9,196;9,166.80;626;6.8;13;19;5,574;60.6;4,150;3,076;1,074;1,330;32;0
------;Straftaten insgesamt;9161000;Ingolstadt;9,466;6,858.60;564;6;3;2;6,435;68;4,758;3,560;1,198;2,112;44.4;0
------;Straftaten insgesamt;16053000;Jena;6,800;6,153.70;336;4.9;2;3;4,002;58.9;2,630;1,975;655;584;22.2;0
------;Straftaten insgesamt;7312000;Kaiserslautern;11,146;11,225.50;665;6;5;4;7,461;66.9;4,655;3,461;1,194;1,380;29.6;0
------;Straftaten insgesamt;8212000;Karlsruhe;25,853;8,434.90;1,646;6.4;8;10;15,455;59.8;11,018;8,576;2,442;5,183;47;0
------;Straftaten insgesamt;6611000;Kassel;20,369;10,163.90;1,399;6.9;25;17;12,713;62.4;8,008;6,227;1,781;3,372;42.1;0
------;Straftaten insgesamt;1002000;Kiel;23,647;9,603.10;1,605;6.8;23;15;11,631;49.2;7,480;5,656;1,824;2,317;31;0
------;Straftaten insgesamt;7111000;Koblenz;14,168;12,467.70;558;3.9;8;4;6,878;48.5;5,246;3,952;1,294;1,826;34.8;0
------;Straftaten insgesamt;5315000;Köln;127,462;11,878.00;10,965;8.6;122;57;62,759;49.2;43,136;32,518;10,618;19,229;44.6;0
------;Straftaten insgesamt;5114000;Krefeld;21,448;9,446.40;1,414;6.6;14;10;10,990;51.2;7,880;5,756;2,124;2,992;38;0
------;Straftaten insgesamt;14713000;Leipzig;66,503;11,049.50;4,317;6.5;41;20;33,892;51;21,582;16,300;5,282;7,873;36.5;0
------;Straftaten insgesamt;5316000;Leverkusen;13,643;8,326.50;1,053;7.7;15;4;8,136;59.6;6,515;4,216;2,299;1,798;27.6;0
------;Straftaten insgesamt;1003000;Lübeck;21,959;10,153.20;1,631;7.4;17;12;12,541;57.1;8,424;6,228;2,196;2,229;26.5;0
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;15,732;9,138.80;1,157;7.4;14;5;9,383;59.6;6,992;5,185;1,807;3,020;43.2;0
------;Straftaten insgesamt;15003000;Magdeburg;27,332;11,572.10;1,705;6.2;32;15;16,263;59.5;10,625;7,988;2,637;4,268;40.2;0
------;Straftaten insgesamt;7315000;Mainz;15,478;7,114.50;802;5.2;7;6;9,069;58.6;6,533;4,916;1,617;2,652;40.6;0
------;Straftaten insgesamt;8222000;Mannheim;29,772;9,547.50;1,884;6.3;13;8;17,137;57.6;13,063;9,916;3,147;6,348;48.6;0
------;Straftaten insgesamt;5170024;Moers;6,810;6,565.40;754;11.1;6;6;3,186;46.8;2,476;1,904;572;684;27.6;0
------;Straftaten insgesamt;5116000;Mönchengladbach;24,945;9,557.40;2,147;8.6;19;13;13,442;53.9;9,491;6,969;2,522;3,448;36.3;0
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;10,862;6,361.80;1,095;10.1;12;5;5,433;50;4,293;3,187;1,106;1,570;36.6;0
------;Straftaten insgesamt;9162000;München;86,649;5,824.30;4,414;5.1;54;40;56,077;64.7;42,553;32,295;10,258;23,631;55.5;0
------;Straftaten insgesamt;5515000;Münster;31,771;9,999.90;1,952;6.1;17;14;15,134;47.6;9,662;7,392;2,270;3,619;37.5;0
------;Straftaten insgesamt;5162024;Neuss;11,460;7,503.40;856;7.5;6;10;6,164;53.8;4,936;3,723;1,213;1,737;35.2;0
------;Straftaten insgesamt;9564000;Nürnberg;38,905;7,619.00;2,474;6.4;24;24;26,225;67.4;18,644;13,992;4,652;9,142;49;0
------;Straftaten insgesamt;5119000;Oberhausen;16,606;7,954.90;1,054;6.3;19;11;9,431;56.8;7,276;5,400;1,876;2,697;37.1;0
------;Straftaten insgesamt;6413000;Offenbach am Main;9,373;7,138.90;537;5.7;5;13;6,208;66.2;5,044;3,863;1,181;2,753;54.6;0
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);12,964;7,608.50;678;5.2;12;6;7,540;58.2;5,232;3,833;1,399;1,439;27.5;0
------;Straftaten insgesamt;3404000;Osnabrück;18,031;10,925.60;1,495;8.3;12;15;10,597;58.8;6,970;5,335;1,635;2,576;37;0
------;Straftaten insgesamt;5774032;Paderborn;12,818;8,403.50;939;7.3;7;3;7,256;56.6;4,997;3,791;1,206;1,425;28.5;0
------;Straftaten insgesamt;8231000;Pforzheim;8,378;6,674.20;508;6.1;8;5;5,168;61.7;4,453;3,295;1,158;1,956;43.9;0
------;Straftaten insgesamt;12054000;Potsdam;12,715;6,942.20;809;6.4;2;8;6,508;51.2;4,570;3,467;1,103;1,369;30;0
------;Straftaten insgesamt;5562032;Recklinghausen;12,175;10,996.80;743;6.1;17;6;7,468;61.3;5,978;4,008;1,970;1,678;28.1;0
------;Straftaten insgesamt;9362000;Regensburg;14,541;9,470.40;531;3.7;6;3;10,231;70.4;7,760;5,925;1,835;4,360;56.2;0
------;Straftaten insgesamt;5120000;Remscheid;7,911;7,077.90;600;7.6;7;1;4,626;58.5;3,483;2,544;939;1,194;34.3;0
------;Straftaten insgesamt;8415061;Reutlingen;7,223;6,202.30;463;6.4;4;0;4,399;60.9;3,201;2,342;859;1,232;38.5;0
------;Straftaten insgesamt;13003000;Rostock, Hanse- und Universitätsstadt;17,990;8,632.40;837;4.7;1;0;10,895;60.6;7,430;5,588;1,842;1,756;23.6;0
------;Straftaten insgesamt;10041100;Saarbrücken;21,614;12,032.20;1,288;6;19;20;12,944;59.9;9,130;6,881;2,249;3,993;43.7;0
------;Straftaten insgesamt;3102000;Salzgitter;6,929;6,682.20;397;5.7;13;8;4,376;63.2;3,179;2,396;783;1,140;35.9;0
------;Straftaten insgesamt;13004000;Schwerin;9,117;9,522.70;377;4.1;1;0;5,764;63.2;3,909;2,980;929;1,105;28.3;0
------;Straftaten insgesamt;5970040;Siegen;8,260;8,136.60;554;6.7;9;9;5,297;64.1;3,710;2,763;947;1,223;33;0
------;Straftaten insgesamt;5122000;Solingen;11,348;7,139.00;724;6.4;14;1;5,862;51.7;4,518;3,302;1,216;1,508;33.4;0
------;Straftaten insgesamt;8111000;Stuttgart;51,722;8,258.70;2,810;5.4;17;18;33,916;65.6;24,198;18,816;5,382;12,257;50.7;0
------;Straftaten insgesamt;7211000;Trier;11,380;10,292.10;471;4.1;6;4;8,178;71.9;6,370;4,807;1,563;3,686;57.9;0
------;Straftaten insgesamt;8421000;Ulm;9,609;7,569.20;413;4.3;5;2;6,241;64.9;4,867;3,773;1,094;2,366;48.6;0
------;Straftaten insgesamt;6414000;Wiesbaden;19,750;7,080.10;1,053;5.3;14;19;12,524;63.4;8,704;6,331;2,373;3,489;40.1;0
------;Straftaten insgesamt;3103000;Wolfsburg;8,851;7,140.80;527;6;13;7;5,078;57.4;3,595;2,696;899;1,312;36.5;0
